Ticker,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
AAPL,1.0,0.2210342885171076,0.5633992566070765,0.458222381570559,0.3913297427382968,0.30032068509602866,0.4947433401203574,0.4671470519110534,0.20017456584518706,0.4369262408068447,0.39180960415637484,0.4645970302009358,0.443549338809734,0.3115195738334648,0.18481760268676745,0.3508858156171409,0.3534187107279005,0.3631254322696988,0.2869585093652281,0.15419710861913946,0.6848113187117463,0.4838860841467851,0.5547032898019844,0.28703465140040463,0.38890268879948464,0.18985777196605869,0.2169864929357976,0.5438848493841966,0.18185097177979503,0.24197129760043445
AMGN,0.2210342885171076,1.0,0.13781703153555436,0.21807890609515357,0.11400336097477967,0.22969570760742725,0.12096911170393064,0.2570319128943109,0.13205045329418094,0.13911983124263266,0.2565976138689888,0.27727955939944093,0.2796891864140515,0.2766395211024856,0.39068599986575664,0.21780548630051844,0.3274447154816933,0.2916906858289887,0.24917445585185907,0.29746421670924245,0.16917653840545113,0.15658608459096554,0.0786242695478855,0.2609697039549614,0.2316525088768334,0.20998374824977264,0.23786743155704063,0.21652130769128214,0.21082880221828973,0.18623772140319308
AMZN,0.5633992566070765,0.13781703153555436,1.0,0.46342410131448486,0.3711951490228835,0.28115346748735354,0.5653577270382215,0.4007836621299695,0.16906334638664514,0.4688473484941046,0.4251846605425012,0.44388108005318816,0.37857904922886304,0.23943298159843823,0.07368913139909639,0.34959358182474126,0.19667207698618652,0.2281395320180101,0.2459103334953709,0.06430712429314314,0.6892769581273943,0.4421789174533777,0.5566310006466278,0.13130914780603536,0.36475032699343524,0.13861890760527507,0.089565817606301,0.44377019762157666,0.1072777886666837,0.26006335902605293
AXP,0.458222381570559,0.21807890609515357,0.46342410131448486,1.0,0.4398637781569298,0.5047825785838888,0.4126291251696579,0.42497047512217934,0.28889804923137413,0.49314236262470657,0.6237567599051456,0.4326458051060101,0.4912990136426591,0.3906694334854074,0.18229569125890077,0.6409819962418782,0.2938715200669159,0.30209034269900786,0.37890390686196634,0.11411843998828212,0.44419892747766715,0.4100237611096424,0.41592056251121234,0.20189759282105704,0.420238214735508,0.38756258521523224,0.21655188519053928,0.5859768426416677,0.1953183255520276,0.20665680250215035
BA,0.3913297427382968,0.11400336097477967,0.3711951490228835,0.4398637781569298,1.0,0.3556989632584263,0.3197648278504242,0.2793890930675483,0.21435069685846328,0.3750083993032866,0.3981363904214412,0.3194341499832998,0.43190091172804795,0.19843239596028345,0.10715328823049544,0.3619896488681702,0.19912397441991198,0.27401947988054465,0.25723392838320763,0.05164103428401712,0.3100439402131315,0.37814171958627546,0.3550649413018451,0.13360463805875475,0.29862730844333596,0.21188812403148494,0.14334175490957765,0.32205280638511874,0.11246322500456918,0.14285285920144566
CAT,0.30032068509602866,0.22969570760742725,0.28115346748735354,0.5047825785838888,0.3556989632584263,1.0,0.2761320590607717,0.33935272001971173,0.5139199589872228,0.35034956189737787,0.5625944103586972,0.3753538161092776,0.4825461590537941,0.3902514965986358,0.12662370872248768,0.5042946095714612,0.17622778890856025,0.21455304608294548,0.41541171819146133,0.09948584791922015,0.27590722498547404,0.3357045375677025,0.31677996797364705,0.05299102736143713,0.3129519244584819,0.3391254297961487,0.14055685658641162,0.3504250703675686,0.15388128151466532,0.10978976009147037
CRM,0.4947433401203574,0.12096911170393064,0.5653577270382215,0.4126291251696579,0.3197648278504242,0.2761320590607717,1.0,0.39606005883299666,0.16849875700782346,0.41014100813061893,0.3992528713333216,0.3931975462206388,0.36459189030684164,0.26184357761386745,0.07262074358964966,0.31902798251788284,0.19051300872047175,0.24922880893465207,0.24104151377179006,0.061402106147101614,0.5862420540580023,0.3641640903180069,0.5126050739327089,0.15515216006310836,0.3344310252542357,0.13630226635807582,0.16536132723461783,0.4410188037586613,0.087760392285421,0.16285627440093378
CSCO,0.4671470519110534,0.2570319128943109,0.4007836621299695,0.42497047512217934,0.2793890930675483,0.33935272001971173,0.39606005883299666,1.0,0.24995737849084723,0.36569414144939605,0.4114091104444917,0.4314915507262429,0.4684133074759866,0.4050001673650432,0.27278081876647864,0.4114333926632088,0.40360354890213584,0.36784961731492927,0.30974098960710733,0.16206336910677743,0.4395155066746075,0.3937107539526755,0.36167830702970755,0.3197686393261489,0.32309449364033055,0.267238230773505,0.2496599676538967,0.430183304723784,0.22658364492475488,0.33271798120346013
CVX,0.20017456584518706,0.13205045329418094,0.16906334638664514,0.28889804923137413,0.21435069685846328,0.5139199589872228,0.16849875700782346,0.24995737849084723,1.0,0.2691911182993083,0.35347861523584106,0.19526185814849553,0.2756968818794238,0.22807359173333727,0.14871364712643925,0.34608523058140567,0.1503722388964245,0.13776589589120322,0.21416312702077073,0.1350295596665508,0.13724127437866385,0.20977722179467198,0.12499131250133902,0.014446243263422438,0.0592975879917122,0.32340386057172443,0.19625409201042213,0.21182236303030336,0.18546916933693655,0.14304028634867239
DIS,0.4369262408068447,0.13911983124263266,0.4688473484941046,0.49314236262470657,0.3750083993032866,0.35034956189737787,0.41014100813061893,0.36569414144939605,0.2691911182993083,1.0,0.45433905730183977,0.41475053511787974,0.39931032627643304,0.2514126752047261,0.128010499130259,0.4228239363030721,0.2263424885361788,0.26813428472872924,0.3177459570828135,0.03371102196098948,0.4337337133007147,0.44670409012300566,0.39559745071653746,0.1833453839457171,0.3326353829115617,0.23811860140792449,0.13329870952621492,0.44915955286447384,0.20996654188873248,0.20714553332609417
